Team;Total DVOA Rank;Total DVOA;Prev. Year Rank;W-L;Weighted DVOA Rank;Weighted DVOA;Offense DVOA Rank;Offense DVOA;Defense DVOA Rank;Defense DVOA;Special Teams DVOA Rank;Special Teams DVOA;Estimated Wins Rank;Estimated Wins;Unadj. Total VOA Rank;Unadj. Total VOA;Schedule Rank;Schedule;Pythagorean Wins Rank;Pythagorean Wins;Variance Rank;Variance
ARI;31;-0,335;10;5-11;31;-0,322;31;-0,358;19;0,018;9;0,042;31;3,7;30;-0,247;31;-0,087;31;4,3;24;0,228
ATL;6;0,204;16;13-3;7;0,189;8;0,083;9;-0,058;3;0,063;4;11,9;5;0,215;22;-0,024;4;11,4;2;0,058
BAL;5;0,219;4;12-4;3;0,269;12;0,057;5;-0,102;4;0,06;2;12,1;9;0,153;7;0,045;6;10,6;1;0,053
BUF;29;-0,224;24;4-12;28;-0,214;26;-0,145;28;0,077;17;-0,001;28;5,4;31;-0,316;1;0,112;30;4,3;19;0,204
CAR;32;-0,382;15;2-14;32;-0,351;32;-0,362;18;0,005;22;-0,015;32;2;32;-0,411;12;0,029;32;2,4;5;0,095
CHI;14;0,022;25;11-5;11;0,088;28;-0,16;3;-0,108;1;0,074;13;8,3;18;-0,001;18;0,007;10;9,5;30;0,253
CIN;19;-0,048;19;4-12;20;-0,073;16;0,016;21;0,028;28;-0,035;25;6,4;25;-0,149;2;0,099;25;6;10;0,134
CLE;21;-0,049;27;5-11;24;-0,1;21;-0,05;20;0,027;10;0,027;24;6,6;23;-0,084;4;0,082;24;6,1;21;0,206
DAL;22;-0,087;5;6-10;21;-0,079;22;-0,05;24;0,042;15;0,006;19;7;22;-0,075;16;0,013;19;7;23;0,216
DEN;27;-0,198;14;4-12;27;-0,182;17;0,015;31;0,188;27;-0,026;29;4,9;27;-0,184;21;-0,018;29;4,9;17;0,197
DET;15;0,021;32;6-10;14;0,066;19;-0,006;16;-0,002;11;0,026;17;8;16;0,008;10;0,038;17;7,8;4;0,089
GB;3;0,235;3;10-6;4;0,24;7;0,119;2;-0,14;26;-0,024;6;10,9;4;0,227;13;0,024;2;12,1;11;0,148
HOU;12;0,036;12;6-10;15;0,063;2;0,216;30;0,163;23;-0,017;18;8;14;0,028;15;0,016;18;7,1;16;0,179
IND;17;0,01;8;10-6;18;-0,037;6;0,131;26;0,058;31;-0,063;16;8,1;15;0,012;14;0,019;12;9,2;3;0,074
JAX;23;-0,105;23;8-8;19;-0,06;14;0,035;32;0,188;7;0,048;26;6,2;24;-0,094;20;-0,008;22;6,3;20;0,205
KC;18;-0,009;29;10-6;22;-0,085;13;0,041;22;0,03;24;-0,021;15;8,2;12;0,065;30;-0,083;13;9,1;25;0,234
MIA;16;0,016;17;7-9;17;-0,029;18;0,01;12;-0,043;29;-0,037;12;8,5;19;-0,038;3;0,09;23;6,2;13;0,15
MIN;24;-0,117;7;6-10;26;-0,139;27;-0,147;11;-0,044;19;-0,014;23;6,7;26;-0,158;6;0,05;26;6;14;0,152
NE;1;0,443;1;14-2;1;0,559;1;0,428;23;0,032;8;0,047;1;14,5;1;0,395;7;0,045;1;12,6;18;0,202
NO;9;0,125;6;11-5;9;0,135;11;0,063;8;-0,078;21;-0,015;9;9,7;8;0,169;26;-0,056;11;9,3;7;0,098
NYG;10;0,118;18;10-6;10;0,11;10;0,073;4;-0,103;30;-0,058;7;10,2;10;0,139;23;-0,038;7;10,1;28;0,244
NYJ;7;0,177;9;11-5;8;0,144;15;0,023;6;-0,097;5;0,058;8;10;7;0,174;5;0,059;8;9,8;29;0,248
OAK;20;-0,048;30;8-8;12;0,086;23;-0,082;14;-0,016;13;0,018;20;7;17;0,003;24;-0,039;14;9;32;0,346
PHI;4;0,222;2;10-6;5;0,197;3;0,182;13;-0,017;12;0,023;5;11,7;3;0,244;19;-0,007;9;9,5;6;0,098
PIT;2;0,347;11;12-4;2;0,383;5;0,145;1;-0,198;16;0,004;3;12;2;0,311;9;0,04;3;12,1;15;0,154
SD;8;0,147;13;9-7;6;0,193;4;0,156;7;-0,092;32;-0,102;10;9,3;6;0,201;27;-0,061;5;11;26;0,237
SEA;30;-0,243;28;7-9;30;-0,311;29;-0,178;29;0,129;2;0,064;21;6,8;29;-0,235;29;-0,077;28;5,4;31;0,304
SF;25;-0,124;20;6-10;23;-0,096;24;-0,109;17;0;20;-0,015;22;6,7;20;-0,052;28;-0,072;21;6,8;27;0,237
